 dog	cho
 cat	meo
 hello	xin chao
 good	tot 
 fish   ca
 school   truong hoc
 hotel   khach san
 museum   vien bao tang
 bank   ngan hang
 stadium   san van dong
 across   bang qua 
 into   vao
 over   o tren
 round   vong 
 through   xuyen qua
 up   len
 next   to ben canh
 betwen   o giua
 behind   phia sau
 under   duoi
 patient   kien nhan, nhan nai
 shy   nhat, rut re
 bossy   hach dich, nguoi thich chi huy
 honest   trung thuc
 strict   nghiem khac
 romantic   lang mang
 ambitious   tham vong
 sensitive   nhay cam
 pessimistic   bi quan
 homorous   hai huoc
 generous   hao phong
 optimistic   lac quan
 warm-heartead   am ap
 bad-tempered   nong tinh
 hard-working   cham chi
 fun-loving   vui nhon
 careful   can than
 cheerful   vui ve
 funny   vui ve
 easy going   de gan
 out going   coi mo
 soft   diu dang
 friendly   than thien
 kind   tot bung
 polise   lich su
 quiet   it noi
 sociable   hoa dong
 talented   tai nang, co tai
 cautious   than trong
 competive   canh tranh
 confident   tu tin
 serious   nghiem tuc
 creative   sang tao 
 dependable   dang tin cay
 enthusiastic   nhiet tinh
 extroverted   huong ngoai 
 introverted   huong noi
 imaginative   giau tri tuong tuong
 observant   tinh y
 rtional   co chung muc, co ly tri
 sincere   thanh thuc
 wise   thong thai, uyen bac
 clever   kheo leo
 understanding   hieu biet
 faithful   chung thuy
 gentle   nhe nhang
 loyal   trung thanh
 boring   buon chan 
 careless   cau tha
 mean   keo kiet
 stupid   ngu ngoc
 aggressive   hung hang
 reckless   hap tap
 stubborn   buong binh
 selfish   ich ki
 hot-temper   nong tinh
 cold   lanh lung
 mad   dien, khung
 gruff   thô lo, coc can
 boast   khoe khoang
 go straight   di thang
 go along   di thang
 not far   khong xa
 traffic lighs   den giao thong
 car   xe
 car park   bai dau xe
 parking lot   bai dau xe
 a going   dang chay, dang chuyen dong
 book   sach

